device,precision,run,latency_ms,mem_mb,power_w
cpu,fp32,1,14.258,93.1,7.33
cpu,fp32,2,14.274,93.1,7.33
cpu,fp32,3,14.252,93.1,7.33
cpu,fp32,4,14.268,93.1,7.33
cpu,fp32,5,14.297,93.1,7.33
cpu,fp32,6,16.107,93.1,7.33
cpu,fp32,7,14.328,93.1,7.33
cpu,fp32,8,14.328,93.1,7.33
cpu,fp32,9,14.354,93.1,7.33
cpu,fp32,10,14.545,93.1,7.33
cpu,fp32,11,14.589,93.1,7.33
cpu,fp32,12,14.373,93.1,7.33
cpu,fp32,13,14.372,93.1,7.33
cpu,fp32,14,15.011,93.1,7.33
cpu,fp32,15,14.853,93.1,7.33
cpu,fp32,16,14.31,93.1,7.33
cpu,fp32,17,14.307,93.1,7.33
cpu,fp32,18,14.452,93.1,7.33
cpu,fp32,19,14.343,93.1,7.33
cpu,fp32,20,14.455,93.1,7.33
cpu,fp32,21,14.399,93.1,7.33
cpu,fp32,22,14.35,93.1,7.33
cpu,fp32,23,14.328,93.1,7.33
cpu,fp32,24,15.274,93.1,7.33
cpu,fp32,25,15.384,93.1,7.33
cpu,fp32,26,18.947,93.1,7.33
cpu,fp32,27,24.643,93.1,7.33
cpu,fp32,28,18.717,93.1,7.33
cpu,fp32,29,14.484,93.1,7.33
cpu,fp32,30,14.504,93.1,7.33
cpu,fp32,31,14.364,93.1,7.33
cpu,fp32,32,14.274,93.1,7.33
cpu,fp32,33,14.327,93.1,7.33
cpu,fp32,34,14.293,93.1,7.33
cpu,fp32,35,15.318,93.1,7.33
cpu,fp32,36,14.416,93.1,7.33
cpu,fp32,37,15.266,93.1,7.33
cpu,fp32,38,14.349,93.1,7.33
cpu,fp32,39,14.318,93.1,7.33
cpu,fp32,40,14.298,93.1,7.33
cpu,fp32,41,14.527,93.1,7.33
cpu,fp32,42,14.238,93.1,7.33
cpu,fp32,43,14.396,93.1,7.33
cpu,fp32,44,14.36,93.1,7.33
cpu,fp32,45,14.216,93.1,7.33
cpu,fp32,46,14.33,93.2,7.33
cpu,fp32,47,14.299,93.2,7.33
cpu,fp32,48,14.443,93.2,7.33
cpu,fp32,49,14.434,93.2,7.33
cpu,fp32,50,14.212,93.2,7.33
cpu,fp32,51,14.531,93.2,7.33
cpu,fp32,52,14.326,93.2,7.33
cpu,fp32,53,14.385,93.2,7.33
cpu,fp32,54,14.448,93.2,7.33
cpu,fp32,55,14.284,93.2,7.33
cpu,fp32,56,14.272,93.2,7.33
cpu,fp32,57,14.346,93.2,7.33
cpu,fp32,58,14.308,93.2,7.33
cpu,fp32,59,14.349,93.2,7.33
cpu,fp32,60,14.276,93.2,7.33
cpu,fp32,61,14.372,93.2,7.33
cpu,fp32,62,14.528,93.2,7.33
cpu,fp32,63,14.39,93.2,7.33
cpu,fp32,64,14.339,93.2,7.33
cpu,fp32,65,14.56,93.2,7.33
cpu,fp32,66,14.27,93.2,7.33
cpu,fp32,67,14.325,93.2,7.33
cpu,fp32,68,15.032,93.2,7.33
cpu,fp32,69,14.297,93.2,7.33
cpu,fp32,70,14.243,93.2,7.33
cpu,fp32,71,14.589,93.2,7.33
cpu,fp32,72,14.303,93.2,7.33
cpu,fp32,73,15.213,93.2,7.33
cpu,fp32,74,15.305,93.2,7.33
cpu,fp32,75,15.806,93.2,7.33
cpu,fp32,76,14.319,93.2,7.33
cpu,fp32,77,14.383,93.2,7.33
cpu,fp32,78,14.503,93.2,7.33
cpu,fp32,79,14.3,93.2,7.33
cpu,fp32,80,14.277,93.2,7.33
cpu,fp32,81,14.951,93.2,7.33
cpu,fp32,82,14.295,93.2,7.33
cpu,fp32,83,14.319,93.2,7.33
cpu,fp32,84,14.313,93.2,7.33
cpu,fp32,85,14.274,93.2,7.33
cpu,fp32,86,15.033,93.2,7.33
cpu,fp32,87,15.372,93.2,7.33
cpu,fp32,88,14.428,93.2,7.33
cpu,fp32,89,14.363,93.2,7.33
cpu,fp32,90,14.401,93.2,7.33
cpu,fp32,91,14.368,93.2,7.33
cpu,fp32,92,14.567,93.2,7.33
