setup,run,decode_ms,pre_ms,infer_ms,post_ms,total
cpu,1,0.88,1.827,16.151,0.015,18.873
cpu,2,0.972,1.985,15.055,0.016,18.028
cpu,3,0.898,1.868,16.645,0.016,19.427
cpu,4,2.021,1.978,14.884,0.016,18.899
cpu,5,2.339,1.923,14.987,0.016,19.265
cpu,6,0.955,2.009,15.049,0.017,18.03
cpu,7,2.314,1.879,14.932,0.015,19.14
cpu,8,1.995,1.914,14.966,0.015,18.89
cpu,9,0.917,1.932,16.715,0.016,19.58
cpu,10,0.959,1.951,15.014,0.015,17.939
cpu,11,0.894,1.887,16.429,0.015,19.225
cpu,12,0.938,1.893,16.957,0.016,19.804
cpu,13,2.431,1.856,14.945,0.015,19.247
cpu,14,0.993,2.038,27.463,0.016,30.51
cpu,15,4.79,1.914,20.506,0.016,27.226
cpu,16,2.606,1.891,15.103,0.017,19.617
cpu,17,2.354,1.942,14.931,0.016,19.243
cpu,18,1.024,1.966,15.065,0.015,18.07
cpu,19,0.897,3.215,15.316,0.016,19.444
cpu,20,0.914,1.88,16.679,0.016,19.489
cpu,21,0.898,1.879,16.257,0.016,19.05
cpu,22,1.004,1.908,15.334,0.016,18.262
cpu,23,0.895,3.41,15.078,0.016,19.399
cpu,24,0.897,3.192,15.053,0.015,19.157000000000004
cpu,25,0.892,1.82,17.047,0.015,19.774
cpu,26,0.899,1.891,16.275,0.016,19.081
cpu,27,2.691,1.894,15.055,0.016,19.656
cpu,28,0.918,1.864,16.747,0.016,19.545
cpu,29,0.971,2.026,15.205,0.018,18.22
cpu,30,0.967,1.976,15.135,0.016,18.094
cpu,31,2.625,1.849,15.408,0.016,19.898
cpu,32,0.987,2.039,14.972,0.016,18.014
cpu,33,0.889,1.875,16.3,0.015,19.079
cpu,34,0.943,1.812,16.257,0.015,19.027
cpu,35,2.68,1.91,15.113,0.016,19.719
cpu,36,0.977,2.013,15.064,0.016,18.07
cpu,37,0.891,1.821,16.166,0.016,18.894
cpu,38,1.004,2.065,14.95,0.015,18.034
cpu,39,0.896,3.745,15.051,0.015,19.707
cpu,40,0.899,1.891,15.89,0.015,18.695
cpu,41,0.889,1.877,15.708,0.016,18.49
cpu,42,1.103,2.067,15.723,0.016,18.909
cpu,43,0.918,3.75,15.012,0.015,19.695
cpu,44,0.982,2.009,24.047,0.016,27.054
cpu,45,0.969,2.037,15.767,0.016,18.789
cpu,46,1.085,1.905,15.896,0.015,18.901000000000003
cpu,47,2.697,1.914,15.001,0.016,19.628
cpu,48,0.913,1.975,15.544,0.016,18.448
cpu,49,0.886,1.829,15.731,0.015,18.461
cpu,50,0.984,2.027,15.403,0.015,18.429
cpu,51,0.895,1.882,16.951,0.016,19.744
cpu,52,0.922,1.823,16.698,0.015,19.458
cpu,53,0.884,1.882,16.37,0.016,19.152
cpu,54,1.021,1.958,15.047,0.016,18.042
cpu,55,0.904,3.745,15.009,0.015,19.673
cpu,56,0.987,2.023,14.928,0.016,17.954
cpu,57,1.01,1.984,15.088,0.016,18.098
cpu,58,0.89,1.898,15.491,0.015,18.294
cpu,59,0.956,1.892,16.969,0.015,19.832
cpu,60,1.038,1.954,20.303,0.016,23.311
cpu,61,1.005,2.081,14.915,0.016,18.017
cpu,62,2.166,1.945,14.779,0.016,18.906
cpu,63,0.981,1.966,15.071,0.016,18.034
cpu,64,0.902,1.896,15.181,0.015,17.994
cpu,65,1.009,1.977,14.875,0.015,17.876
cpu,66,0.897,3.16,14.984,0.016,19.057
cpu,67,0.898,1.807,16.713,0.016,19.434
cpu,68,0.908,1.887,20.784,0.015,23.594
cpu,69,0.972,1.893,16.103,0.016,18.984
cpu,70,0.922,3.561,14.953,0.016,19.452
cpu,71,0.983,2.034,15.316,0.015,18.348000000000003
cpu,72,0.979,1.959,15.14,0.015,18.093
cpu,73,0.99,2.029,14.926,0.016,17.961
cpu,74,0.896,1.896,16.882,0.015,19.689
cpu,75,0.892,1.921,16.424,0.015,19.252
cpu,76,1.026,1.897,14.946,0.016,17.884999999999998
cpu,77,0.981,2.042,14.896,0.016,17.935
cpu,78,2.382,1.903,15.087,0.016,19.388
cpu,79,1.013,1.914,15.042,0.015,17.984
cpu,80,0.887,1.888,15.536,0.015,18.326
cpu,81,1.099,1.982,14.989,0.016,18.086
cpu,82,0.898,3.343,15.099,0.015,19.355
cpu,83,0.895,1.888,16.198,0.015,18.996
cpu,84,1.032,1.96,15.03,0.016,18.038
cpu,85,0.894,2.103,14.897,0.015,17.909000000000002
cpu,86,0.953,1.895,16.511,0.015,19.374
cpu,87,1.035,1.953,15.04,0.015,18.043
cpu,88,0.885,1.871,15.297,0.016,18.069
cpu,89,1.038,1.967,15.0,0.016,18.021
cpu,90,2.581,1.903,14.988,0.015,19.487
cpu,91,0.898,1.838,16.378,0.016,19.13
cpu,92,0.898,1.875,15.768,0.015,18.556
cpu,93,0.979,1.997,14.988,0.015,17.979
